ID,Institution Name,Street,City,State,ZIP,Chief Name,Chief Title,Telephone,URL,Alias,System,County,Longitude,Latitude,
100654,Alabama A & M University,4900 Meridian Street,Normal,AL,35762,"Dr. Andrew Hugine, Jr.",President,2563725000,www.aamu.edu/,Alabama A&M,,Madison County,-86.568502,34.783368,
100663,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,Ray L. Watts,President,2059344011,www.uab.edu,UAB,The University of Alabama System,Jefferson County,-86.80917,33.50223,
100690,Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,Michael Turner,President,3.34E+13,www.amridgeuniversity.edu,,,Montgomery County,-86.17401,32.362609,
100706,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,35899,Robert A. Altenkirch,President,2568246120,www.uah.edu,,The University of Alabama System,Madison County,-86.63842,34.722818,
100724,Alabama State University,915 S Jackson Street,Montgomery,AL,36104-0271,Gwen Boyd,President,3342294400,www.alasu.edu/email/index.aspx,Alabama State,,Montgomery County,-86.295677,32.364317,
100733,University of Alabama System Office,401 Queen City Ave,Tuscaloosa,AL,35401,Robert Witt,Chancellor,2053489731,www.uasystem.ua.edu,,The University of Alabama System,Tuscaloosa County,-87.560858,33.212525,
100751,The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0166,Dr. Judith L. Bonner,President,2053486010,www.ua.edu/,Alabama,The University of Alabama System,Tuscaloosa County,-87.545766,33.2144,
100760,Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,Susan Burrow,President,2562346346,www.cacc.edu,,Alabama Community College System,Tallapoosa County,-85.94653,32.924429,
100812,Athens State University,300 N Beaty St,Athens,AL,35611,Robert Glenn,President,2562338100,www.athens.edu,,,Limestone County,-86.96514,34.805625,
100830,Auburn University at Montgomery,7440 East Drive,Montgomery,AL,36117-3596,John G. Veres III,Chancellor,3342443000,www.aum.edu,,Auburn University,Montgomery County,-86.177351,32.369939,
100858,Auburn University,"Auburn, Alabama",Auburn University,AL,36849,Jay Gogue,President,3348444000,www.auburn.edu,Auburn,Auburn University,Lee County,-85.492409,32.600201,
100937,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,General Charles Krulak,President,2052264600,www.bsc.edu/,,,Jefferson County,-86.853636,33.515453,
101028,Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,36869,Dr. Glen Cannon,President,3342914900,www.cv.edu,,Alabama Community College System,Russell County,-85.031485,32.42391,
101073,Concordia College Alabama,1712 Broad Street,Selma,AL,36701,Dr. Tilahun M.Mendedo,President,3348745700,www.ccal.edu/,,,Dallas County,-87.023531,32.42443,
