Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1,1,Los Angeles,Jared Goff,QB,21,California
1,2,Philadelphia,Carson Wentz,QB,23,North Dakota St.
1,3,San Diego,Joey Bosa,DE,21,Ohio St.
1,4,Dallas,Ezekiel Elliott,RB,21,Ohio St.
1,5,Jacksonville,Jalen Ramsey,CB,21,Florida St.
1,6,Baltimore,Ronnie Stanley,OT,22,Notre Dame
1,7,San Francisco,DeForest Buckner,DE,22,Oregon
1,8,Tennessee,Jack Conklin,OT,22,Michigan St.
1,9,Chicago,Leonard Floyd,LB,24,Georgia
1,10,New York Giants,Eli Apple,CB,21,Ohio St.
1,11,Tampa Bay,Vernon Hargreaves,CB,21,Florida
1,12,New Orleans,Sheldon Rankins,DT,22,Louisville
1,13,Miami,Laremy Tunsil,OT,22,Mississippi
1,14,Oakland,Karl Joseph,S,23,West Virginia
1,15,Cleveland,Corey Coleman,WR,22,Baylor
1,16,Detroit,Taylor Decker,OT,22,Ohio St.
1,17,Atlanta,Keanu Neal,S,21,Florida
1,18,Indianapolis,Ryan Kelly,C,23,Alabama
1,19,Buffalo,Shaq Lawson,DE,22,Clemson
1,20,New York Jets,Darron Lee,LB,21,Ohio St.
1,21,Houston,Will Fuller,WR,22,Notre Dame
1,22,Washington,Josh Doctson,WR,23,TCU
1,23,Minnesota,Laquon Treadwell,WR,21,Mississippi
1,24,Cincinnati,William Jackson,CB,23,Houston
1,25,Pittsburgh,Artie Burns,CB,21,Miami (FL)
1,26,Denver,Paxton Lynch,QB,22,Memphis
1,27,Green Bay,Kenny Clark,DT,20,UCLA
1,28,San Francisco,Joshua Garnett,G,22,Stanford
1,29,Arizona,Robert Nkemdiche,DT,22,Mississippi
1,30,Carolina,Vernon Butler,DT,22,Louisiana Tech
1,31,Seattle,Germain Ifedi,G,22,Texas A&M
2,32,Cleveland,Emmanuel Ogbah,DE,22,Oklahoma St.
2,33,Tennessee,Kevin Dodd,DE,24,Clemson
2,34,Dallas,Jaylon Smith,LB,21,Notre Dame
2,35,San Diego,Hunter Henry,TE,21,Arkansas
2,36,Jacksonville,Myles Jack,LB,21,UCLA
2,37,Kansas City,Chris Jones,DT,22,Mississippi St.
2,38,Miami,Xavien Howard,CB,23,Baylor
2,39,Tampa Bay,Noah Spence,DE,22,East. Kentucky
2,40,New York Giants,Sterling Shepard,WR,22,Oklahoma
2,41,Buffalo,Reggie Ragland,LB,23,Alabama
2,42,Baltimore,Kamalei Correa,DE,22,Boise St.
2,43,Tennessee,Austin Johnson,NT,22,Penn St.
2,44,Oakland,Jihad Ward,DE,22,Illinois
2,45,Tennessee,Derrick Henry,RB,22,Alabama
2,46,Detroit,A'Shawn Robinson,DT,21,Alabama
2,47,New Orleans,Michael Thomas,WR,23,Ohio St.
