Jersey,Name,Position,Age,Height,Weight,Years,College,Team,Team Location,Position Group,Side,Level
53,A.Q. Shipley,C,30,73,307,5,Penn State,Arizona,AZ,OL,OFF,5-8 Yrs
77,Evan Boehm,C,22,74,309,0,Missouri,Arizona,AZ,OL,OFF,Rookie
65,Taylor Boggs,C,29,75,302,4,Humboldt State,Arizona,AZ,OL,OFF,1-4 Yrs
28,Justin Bethel,CB,26,72,200,5,Presbyterian College,Arizona,AZ,DB,DEF,5-8 Yrs
1,Harlan Miller,CB,22,72,182,0,Southeastern Louisiana,Arizona,AZ,DB,DEF,Rookie
35,Cariel Brooks,CB,25,69,200,2,Adams State,Arizona,AZ,DB,DEF,1-4 Yrs
43,Mike Jenkins,CB,31,70,197,9,South Florida,Arizona,AZ,DB,DEF,9-12 Yrs
25,Jerraud Powers,CB,29,70,187,8,Auburn,Arizona,AZ,DB,DEF,5-8 Yrs
46,Asa Jackson,CB,26,70,183,4,Cal Poly,Arizona,AZ,DB,DEF,1-4 Yrs
39,Shaun Prater,CB,26,70,190,4,Iowa,Arizona,AZ,DB,DEF,1-4 Yrs
--,Ronald Zamort,CB,24,70,174,0,Western Michigan,Arizona,AZ,DB,DEF,Rookie
21,Brandon Williams,CB,23,71,197,0,Texas A&M,Arizona,AZ,DB,DEF,Rookie
--,Elie Bouka,CB,--,73,205,0,--,Arizona,AZ,DB,DEF,Rookie
21,Patrick Peterson,CB,26,73,219,6,LSU,Arizona,AZ,DB,DEF,5-8 Yrs
--,Trevon Hartfield,CB,--,74,195,0,Southwestern Oklahoma,Arizona,AZ,DB,DEF,Rookie
55,Chandler Jones,DE,26,77,265,5,Syracuse,Arizona,AZ,Front Seven,DEF,5-8 Yrs
58,Tristan Okpalaugo,DE,26,78,250,0,Fresno State,Arizona,AZ,Front Seven,DEF,Rookie
92,Frostee Rucker,DT,32,75,280,11,USC,Arizona,AZ,Front Seven,DEF,9-12 Yrs
