Fact,State Abbr,Population estimate,Persons under 5 years,Persons under 18 years,Persons 65 years and over,Female persons,Housing units,Median value of housing units,Median gross rent,Households,Persons per household,High school graduate or higher - age 25 years+,Bachelor's degree or higher - age 25 years+,Mean travel time to work (minutes),Median household income,Persons in poverty,Population per square mile,Land area in square miles
District of Columbia,DC,"681,170",6.40%,17.70%,11.60%,52.50%,"313,718","$475,800 ","$1,327 ","273,390",2.22,89.30%,54.60%,29.7,"$70,848 ",18.60%,"9,856.50",61.05
Wyoming,WY,"585,501",6.50%,23.70%,15.00%,48.90%,"270,600","$194,800 ",$789 ,"226,865",2.49,92.30%,25.70%,18.3,"$58,840 ",11.30%,5.8,"97,093.14"
Wisconsin,WI,"5,778,708",5.80%,22.30%,16.10%,50.30%,"2,668,444","$165,800 ",$776 ,"2,299,107",2.43,91.00%,27.80%,21.9,"$53,357 ",11.80%,105,"54,157.80"
West Virginia,WV,"1,831,102",5.50%,20.50%,18.80%,50.50%,"886,640","$103,800 ",$643 ,"740,890",2.43,85.00%,19.20%,25.6,"$41,751 ",17.90%,77.1,"24,038.21"
Washington,WA,"7,288,000",6.20%,22.40%,14.80%,50.00%,"3,025,685","$259,500 ","$1,014 ","2,668,912",2.56,90.40%,32.90%,26.3,"$61,062 ",11.30%,101.2,"66,455.52"
Virginia,VA,"8,411,808",6.10%,22.20%,14.60%,50.80%,"3,491,054","$245,000 ","$1,116 ","3,062,783",2.62,88.30%,36.30%,27.9,"$65,015 ",11.00%,202.6,"39,490.09"
Vermont,VT,"624,594",4.90%,19.00%,18.10%,50.60%,"329,525","$217,500 ",$895 ,"257,167",2.34,91.80%,36.00%,22.5,"$55,176 ",11.90%,67.9,"9,216.66"
Utah,UT,"3,051,217",8.30%,30.20%,10.50%,49.70%,"1,054,164","$215,900 ",$887 ,"906,292",3.15,91.20%,31.10%,21.6,"$60,727 ",10.20%,33.6,"82,169.62"
Texas,TX,"27,862,596",7.20%,26.20%,12.00%,50.40%,"10,753,629","$136,000 ",$882 ,"9,149,196",2.84,81.90%,27.60%,25.6,"$53,207 ",15.60%,96.3,"261,231.71"
Tennessee,TN,"6,651,194",6.10%,22.60%,15.70%,51.20%,"2,919,671","$142,100 ",$764 ,"2,504,556",2.53,85.50%,24.90%,24.5,"$45,219 ",15.80%,153.9,"41,234.90"
South Dakota,SD,"865,454",7.10%,24.60%,16.00%,49.60%,"383,838","$140,500 ",$655 ,"330,858",2.45,90.90%,27.00%,16.9,"$50,957 ",13.30%,10.7,"75,811.00"
South Carolina,SC,"4,961,119",5.90%,22.10%,16.70%,51.50%,"2,236,153","$139,900 ",$790 ,"1,815,094",2.56,85.60%,25.80%,23.9,"$45,483 ",15.30%,153.9,"30,060.70"
Rhode Island,RI,"1,056,426",5.20%,19.70%,16.50%,51.40%,"462,589","$238,000 ",$925 ,"410,602",2.46,86.20%,31.90%,24.2,"$56,852 ",12.80%,"1,018.10","1,033.81"
Pennsylvania,PA,"12,784,227",5.60%,20.90%,17.40%,51.00%,"5,612,002","$166,000 ",$840 ,"4,958,859",2.49,89.20%,28.60%,26.3,"$53,599 ",12.90%,283.9,"44,742.70"
Oregon,OR,"4,093,465",5.80%,21.20%,16.80%,50.50%,"1,732,786","$237,300 ",$907 ,"1,533,430",2.51,89.80%,30.80%,22.9,"$51,243 ",13.30%,39.9,"95,988.01"
Oklahoma,OK,"3,923,561",6.80%,24.50%,15.00%,50.50%,"1,721,045","$117,900 ",$727 ,"1,455,321",2.57,86.90%,24.10%,21.3,"$46,879 ",16.30%,54.7,"68,594.92"
Ohio,OH,"11,614,373",6.00%,22.50%,16.20%,51.00%,"5,164,361","$129,900 ",$730 ,"4,585,084",2.46,89.10%,26.10%,23.2,"$49,429 ",14.60%,282.3,"40,860.69"
North Dakota,ND,"757,952",7.30%,23.30%,14.50%,48.70%,"368,624","$153,800 ",$709 ,"299,638",2.32,91.70%,27.70%,17.2,"$57,181 ",10.70%,9.7,"69,000.80"
North Carolina,NC,"10,146,788",6.00%,22.70%,15.50%,51.40%,"4,540,498","$154,900 ",$797 ,"3,775,581",2.54,85.80%,28.40%,23.9,"$46,868 ",15.40%,196.1,"48,617.91"
New York,NY,"19,745,289",5.90%,21.20%,15.40%,51.40%,"8,231,687","$283,400 ","$1,132 ","7,262,279",2.63,85.60%,34.20%,32.3,"$59,269 ",14.70%,411.2,"47,126.40"
New Mexico,NM,"2,081,015",6.20%,23.60%,16.50%,50.50%,"917,568","$160,300 ",$777 ,"763,603",2.67,84.20%,26.30%,21.6,"$44,963 ",19.80%,17,"121,298.15"
New Jersey,NJ,"8,944,469",5.80%,22.20%,15.30%,51.20%,"3,604,409","$315,900 ","$1,192 ","3,189,486",2.73,88.60%,36.80%,31,"$72,093 ",10.40%,"1,195.50","7,354.22"
New Hampshire,NH,"1,334,795",4.80%,19.50%,17.00%,50.50%,"625,307","$237,300 ","$1,000 ","520,251",2.47,92.30%,34.90%,26.9,"$66,779 ",7.30%,147,"8,952.65"
Nevada,NV,"2,940,058",6.30%,23.00%,15.00%,49.90%,"1,221,698","$173,700 ",$973 ,"1,016,709",2.72,85.10%,23.00%,23.9,"$51,847 ",13.80%,24.6,"109,781.18"
Nebraska,NE,"1,907,116",7.00%,24.80%,15.00%,50.20%,"827,156","$133,200 ",$726 ,"736,613",2.47,90.70%,29.30%,18.3,"$52,997 ",11.40%,23.8,"76,824.17"
Montana,MT,"1,042,520",6.00%,21.80%,17.70%,49.70%,"497,756","$193,500 ",$711 ,"409,394",2.41,92.80%,29.50%,18.1,"$47,169 ",13.30%,6.8,"145,545.80"
